Date,CHOICE BUILDER
12/1/2009,166
1/1/2010,613
2/1/2010,4040
3/1/2010,8340
4/1/2010,10335
5/1/2010,11080
6/1/2010,10355
7/1/2010,30967
8/1/2010,8582
9/1/2010,16413
10/1/2010,9082
11/1/2010,26425
12/1/2010,24478
1/1/2011,20783
2/1/2011,22398
3/1/2011,29223
4/1/2011,25747
5/1/2011,29372
6/1/2011,34343
7/1/2011,32970
8/1/2011,36692
9/1/2011,40497
10/1/2011,42215
11/1/2011,40563
12/1/2011,44680
1/1/2012,39996
2/1/2012,66908
3/1/2012,54048
4/1/2012,59311
5/1/2012,62048
6/1/2012,67325
7/1/2012,72091
8/1/2012,66478
9/1/2012,73012
10/1/2012,82747
11/1/2012,76577
12/1/2012,83624
1/1/2013,109192
2/1/2013,93809
3/1/2013,112564
4/1/2013,114863
5/1/2013,125602
6/1/2013,116438
7/1/2013,142386
8/1/2013,130561
9/1/2013,130939
10/1/2013,126174
11/1/2013,158962
12/1/2013,172600
1/1/2014,190176
2/1/2014,182720
3/1/2014,181562
4/1/2014,183741
5/1/2014,177781
6/1/2014,231813
7/1/2014,207110
8/1/2014,173969
9/1/2014,225964
10/1/2014,184259
11/1/2014,264308
12/1/2014,221167
1/1/2015,283157
2/1/2015,267545
3/1/2015,302725
4/1/2015,272817
5/1/2015,262360
6/1/2015,250967
7/1/2015,337054
8/1/2015,263557
9/1/2015,200398
10/1/2015,421634
11/1/2015,301815
12/1/2015,385018
1/1/2016,388883
2/1/2016,400234
3/1/2016,417334
4/1/2016,358053
5/1/2016,433797
6/1/2016,373492
7/1/2016,406073
8/1/2016,417387
9/1/2016,419954
10/1/2016,437936
11/1/2016,438909
12/1/2016,519203
1/1/2017,469842
2/1/2017,517473
3/1/2017,514999
4/1/2017,448152
5/1/2017,482915
6/1/2017,541088
7/1/2017,490151
8/1/2017,559046
9/1/2017,498463
10/1/2017,498180
11/1/2017,524680
12/1/2017,557488
1/1/2018,580610
2/1/2018,593037
3/1/2018,624594
4/1/2018,580831
5/1/2018,609855
6/1/2018,601214
7/1/2018,588871
8/1/2018,627123
9/1/2018,548547
