Date,Small Group
12/1/2009,2740735
1/1/2010,2416148
2/1/2010,2547528
3/1/2010,2737315
4/1/2010,2547421
5/1/2010,2332692
6/1/2010,2675896
7/1/2010,2490901
8/1/2010,2505415
9/1/2010,2401032
10/1/2010,2368470
11/1/2010,2398938
12/1/2010,2394879
1/1/2011,2505553
2/1/2011,2439879
3/1/2011,2473087
4/1/2011,2352302
5/1/2011,2315070
6/1/2011,2445746
7/1/2011,2299619
8/1/2011,2516211
9/1/2011,2308152
10/1/2011,2258030
11/1/2011,2294585
12/1/2011,9561070
1/1/2012,2418334
2/1/2012,2381271
3/1/2012,2428115
4/1/2012,2356513
5/1/2012,2404503
6/1/2012,2354231
7/1/2012,2474782
8/1/2012,2486525
9/1/2012,2355672
10/1/2012,2538862
11/1/2012,2423994
12/1/2012,2463172
1/1/2013,2551140
2/1/2013,2434296
3/1/2013,2635361
4/1/2013,2602848
5/1/2013,2525227
6/1/2013,2444313
7/1/2013,2682970
8/1/2013,2630304
9/1/2013,2575886
10/1/2013,2685699
11/1/2013,2477701
12/1/2013,2881542
1/1/2014,2921044
2/1/2014,2908394
3/1/2014,3070221
4/1/2014,3219383
5/1/2014,3150823
6/1/2014,3204336
7/1/2014,3363763
8/1/2014,3314643
9/1/2014,3508919
10/1/2014,3583197
11/1/2014,3269261
12/1/2014,4298325
1/1/2015,4509868
2/1/2015,4512001
3/1/2015,4527282
4/1/2015,4271831
5/1/2015,4197882
6/1/2015,4550537
7/1/2015,4708794
8/1/2015,4525770
9/1/2015,4515388
10/1/2015,4790853
11/1/2015,4696755
12/1/2015,6062970
1/1/2016,6240117
2/1/2016,6210847
3/1/2016,6437765
4/1/2016,6226129
5/1/2016,6120637
6/1/2016,5993133
7/1/2016,6168979
8/1/2016,6455671
9/1/2016,6238734
10/1/2016,6407628
11/1/2016,6487998
12/1/2016,6851639
1/1/2017,7029041
2/1/2017,6823416
3/1/2017,7053886
4/1/2017,6590921
5/1/2017,7043652
6/1/2017,6807451
7/1/2017,6900873
8/1/2017,6995607
9/1/2017,6747183
10/1/2017,6991572
11/1/2017,6884088
12/1/2017,7225003
1/1/2018,7318510
2/1/2018,7183043
3/1/2018,7324757
4/1/2018,7300850
5/1/2018,7475595
6/1/2018,7261327
7/1/2018,7631457
8/1/2018,7342751
9/1/2018,7023818
